,,,,,Candidatos,,,,
,,,,,,,,,
num_turno,,,,nome_candidato,,sigla_partido,descricao_sit_tot_turno,,
,,descricao_cargo,,,,,,,
,,GOVERNADOR                                                                      ,,,,,,,
1,,,,ALOIZIO MERCADANTE OLIVA                                                        ,,PT                  ,NÃO ELEITO                                        ,,
,,GOVERNADOR                                                                      ,,,,,,,
1,,,,ANAI CAPRONI PINTO                                                              ,,PCO                 ,NÃO ELEITO                                        ,,
,,GOVERNADOR                                                                      ,,,,,,,
1,,,,CELSO UBIRAJARA RUSSOMANNO                                                      ,,PP                  ,NÃO ELEITO                                        ,,
,,GOVERNADOR                                                                      ,,,,,,,
1,,,,FABIO JOSÉ FELDMANN                                                             ,,PV                  ,NÃO ELEITO                                        ,,
,,GOVERNADOR                                                                      ,,,,,,,
1,,,,GERALDO JOSE RODRIGUES ALCKMIN FILHO                                            ,,PSDB                ,ELEITO                                            ,,
,,GOVERNADOR                                                                      ,,,,,,,
1,,,,IGOR GRABOIS OLIMPIO                                                            ,,PCB                 ,REGISTRO NEGADO ANTES DA ELEIÇÃO                  ,,
,,GOVERNADOR                                                                      ,,,,,,,
1,,,,LUIZ CARLOS PRATES                                                              ,,PSTU                ,NÃO ELEITO                                        ,,
,,GOVERNADOR                                                                      ,,,,,,,
1,,,,PAULO ANTONIO SKAF                                                              ,,PSB                 ,NÃO ELEITO                                        ,,
,,GOVERNADOR                                                                      ,,,,,,,
1,,,,PAULO ROBERTO BUFALO                                                            ,,PSOL                ,INDEFERIDO COM RECURSO                            ,,
,,SENADOR                                                                         ,,,,,,,
1,,,,AFONSO TEIXEIRA FILHO                                                           ,,PCO                 ,NÃO ELEITO                                        ,,
,,SENADOR                                                                         ,,,,,,,
1,,,,ALEXANDRE EUGENIO SERPA                                                         ,,PSB                 ,NÃO ELEITO                                        ,,
,,SENADOR                                                                         ,,,,,,,
1,,,,ALOYSIO NUNES FERREIRA FILHO                                                    ,,PSDB                ,ELEITO                                            ,,
,,SENADOR                                                                         ,,,,,,,
1,,,,ANA LUIZA DE FIGUEIREDO GOMES                                                   ,,PSTU                ,NÃO ELEITO                                        ,,
,,SENADOR                                                                         ,,,,,,,
1,,,,ANTONIO CARLOS MAZZEO                                                           ,,PCB                 ,REGISTRO NEGADO ANTES DA ELEIÇÃO                  ,,
,,SENADOR                                                                         ,,,,,,,
1,,,,CIRO TIZIANI MOURA                                                              ,,PTC                 ,NÃO ELEITO                                        ,,
,,SENADOR                                                                         ,,,,,,,
1,,,,DIRCEU TRAVESSO                                                                 ,,PSTU                ,REGISTRO NEGADO ANTES DA ELEIÇÃO                  ,,
,,SENADOR                                                                         ,,,,,,,
1,,,,ERNESTO FREIRE PICHLER                                                          ,,PCB                 ,REGISTRO NEGADO ANTES DA ELEIÇÃO                  ,,
,,SENADOR                                                                         ,,,,,,,
1,,,,JOSÉ DE PAULA NETO                                                              ,,PC do B             ,NÃO ELEITO                                        ,,
,,SENADOR                                                                         ,,,,,,,
1,,,,MARCELO HENRIQUE                                                                ,,PSOL                ,NÃO ELEITO                                        ,,
,,SENADOR                                                                         ,,,,,,,
1,,,,MARTA SUPLICY                                                                   ,,PT                  ,ELEITO                                            ,,
,Sexta-feira 13 Abril 2012,,,,,,,Page 1 of, 103
num_turno,,,nome_candidato,sigla_partido,descricao_sit_tot_turno,,
,,descricao_cargo,,,,,
,,SENADOR                                                                         ,,,,,
1,,,MOACYR DE OLIVEIRA FRANCO                                                       ,PSL                 ,NÃO ELEITO                                        ,,
,,SENADOR                                                                         ,,,,,
1,,,RICARDO YOUNG SILVA                                                             ,PV                  ,NÃO ELEITO                                        ,,
,,SENADOR                                                                         ,,,,,
1,,,ROMEU TUMA                                                                      ,PTB                 ,NÃO ELEITO                                        ,,
,,SENADOR                                                                         ,,,,,
1,,,SERGIO DE AZEVEDO REDÓ                                                          ,PP                  ,NÃO ELEITO                                        ,,
,,DEPUTADO FEDERAL                                                                ,,,,,
1,,,ACIR DOS SANTOS                                                                 ,PDT                 ,SUPLENTE                                          ,,
,,DEPUTADO FEDERAL                                                                ,,,,,
1,,,ADALBERTO NADUR                                                                 ,PTB                 ,SUPLENTE                                          ,,
,,DEPUTADO FEDERAL                                                                ,,,,,
1,,,ADAUTO VILAS BOAS CONDE                                                         ,PSDC                ,NÃO ELEITO                                        ,,
,,DEPUTADO FEDERAL                                                                ,,,,,
1,,,ADELINA PEREIRA DA SILVEIRA DE ALCANTARA MACHADO                                ,PP                  ,SUPLENTE                                          ,,
,,DEPUTADO FEDERAL                                                                ,,,,,
1,,,ADELMAR BADECA DE ALMEIDA                                                       ,PTC                 ,REGISTRO NEGADO ANTES DA ELEIÇÃO                  ,,
,,DEPUTADO FEDERAL                                                                ,,,,,
1,,,ADEMIR WELLITON DE OLIVEIRA                                                     ,PSOL                ,REGISTRO NEGADO ANTES DA ELEIÇÃO                  ,,
,,DEPUTADO FEDERAL                                                                ,,,,,
1,,,ADEVALDO DOMINGOS                                                               ,PMDB                ,SUPLENTE                                          ,,
,,DEPUTADO FEDERAL                                                                ,,,,,
1,,,ADHEMAR DE BARROS FILHO                                                         ,PP                  ,SUPLENTE                                          ,,
,,DEPUTADO FEDERAL                                                                ,,,,,
1,,,ADILSON FERNANDES VARELA                                                        ,PTB                 ,SUPLENTE                                          ,,
,,DEPUTADO FEDERAL                                                                ,,,,,
1,,,ADILSON ROBERTO VENÂNCIO DE GODOY                                               ,PTC                 ,NÃO ELEITO                                        ,,
,,DEPUTADO FEDERAL                                                                ,,,,,
1,,,ADILSON RODRIGUES SANTOS                                                        ,PSOL                ,SUPLENTE                                          ,,
,,DEPUTADO FEDERAL                                                                ,,,,,
1,,,ADRIANA ALVARES DA COSTA DE PAULA ALVES                                         ,PP                  ,SUPLENTE                                          ,,
,,DEPUTADO FEDERAL                                                                ,,,,,
1,,,ADRIANA CARLA DIAS OLIVEIRA                                                     ,PSC                 ,SUPLENTE                                          ,,
,,DEPUTADO FEDERAL                                                                ,,,,,
1,,,ADRIANA SILVA RENAUT CAVALHEIRO                                                 ,PTC                 ,NÃO ELEITO                                        ,,
,,DEPUTADO FEDERAL                                                                ,,,,,
1,,,ADRIANO ELI CORREA                                                              ,DEM                 ,ELEITO                                            ,,
,,DEPUTADO FEDERAL                                                                ,,,,,
1,,,ADÃO TIMÓTEO DE LIMA                                                            ,PSB                 ,SUPLENTE                                          ,,
,,DEPUTADO FEDERAL                                                                ,,,,,
